sigla_uf,id_municipio,municipio,tecnologia,capacidade_backhaul
SP,3509452,Campina do Monte Alegre,Radio + Fibra + SDH-NG,8
SP,3509809,Campos Novos Paulista,Radio + Fibra + SDH-NG,8
SP,3509957,Canas,Fibra + SDH-NG,8
SP,3510104,Cândido Rodrigues,Fibra + SDH-NG,8
SP,3510153,Canitar,Fibra + SDH-NG,8
SP,3510302,Capela do Alto,Fibra + SDH-NG,8
SP,3511201,Catiguá,Fibra + SDH-NG,8
SP,3511300,Cedral,Fibra + SDH-NG,8
SP,3511904,Clementina,Fibra + SDH-NG,8
SP,3512506,Coroados,Fibra + SDH-NG,8
SP,3512605,Coronel Macedo,Fibra + SDH-NG,8
SP,3512704,Corumbataí,Fibra + SDH-NG,8
SP,3512902,Cosmorama,Fibra + SDH-NG,8
SP,3513207,Cristais Paulista,Radio + Fibra + SDH-NG,8
SP,3513306,Cruzália,Radio + Fibra + SDH-NG,8
SP,3513850,Dirce Reis,Fibra + SDH-NG,8
SP,3514007,Dobrada,Fibra + SDH-NG,8
SP,3514205,Dolcinópolis,Fibra + SDH-NG,8
SP,3514700,Echaporã,Radio + Fibra + SDH-NG,8
SP,3514924,Elisiário,Fibra + SDH-NG,8
SP,3514957,Embaúba,Fibra + SDH-NG,8
SP,3515129,Emilianópolis,Fibra + SDH-NG,8
SP,3515194,Espírito Santo do Turvo,Radio + Fibra + SDH-NG,8
SP,3515301,Estrela do Norte,Radio + Fibra + SDH-NG,8
SP,3515350,Euclides da Cunha Paulista,Fibra + SDH-NG,8
SP,3515608,Fernando Prestes,Fibra + SDH-NG,8
SP,3515657,Fernão,Radio + Fibra + SDH-NG,8
SP,3515806,Flora Rica,Fibra + SDH-NG,8
SP,3515905,Floreal,Fibra + SDH-NG,8
SP,3516101,Florínia,Radio + Fibra + SDH-NG,8
SP,3516507,Gabriel Monteiro,Fibra + SDH-NG,8
SP,3516606,Gália,Fibra + SDH-NG,8
SP,3516804,Gastão Vidigal,Fibra + SDH-NG,8
SP,3516853,Gavião Peixoto,Fibra + SDH-NG,8
SP,3517109,Glicério,Fibra + SDH-NG,8
SP,3517307,Guaimbê,Fibra + SDH-NG,8
SP,3517604,Guapiara,Radio + Fibra + SDH-NG,16
SP,3517901,Guaraci,Fibra + SDH-NG,8
SP,3518008,Guarani d'Oeste,Radio + Fibra + SDH-NG,8
SP,3518107,Guarantã,Radio + Fibra + SDH-NG,8
SP,3518909,Guzolândia,Fibra + SDH-NG,8
SP,3519006,Herculândia,Fibra + SDH-NG,8
SP,3519204,Iacri,Fibra + SDH-NG,8
SP,3519253,Iaras,Radio + Fibra + SDH-NG,8
SP,3519402,Ibirá,Fibra + SDH-NG,8
SP,3519501,Ibirarema,Fibra + SDH-NG,8
SP,3519808,Icém,Radio + Fibra + SDH-NG,8
SP,3519907,Iepê,Radio + Fibra + SDH-NG,8
SP,3520202,Igaratá,Fibra + SDH-NG,8
SP,3520608,Indiana,Fibra + SDH-NG,8
SP,3520707,Indiaporã,Radio + Fibra + SDH-NG,8
SP,3520806,Inúbia Paulista,Fibra + SDH-NG,8
SP,3521150,Ipiguá,Fibra + SDH-NG,8
SP,3521200,Iporanga,Radio + Fibra + SDH-NG,8
SP,3521507,Irapuã,Fibra + SDH-NG,8
SP,3522000,Itaju,Fibra + SDH-NG,8
SP,3522158,Itaóca,Radio + Fibra + SDH-NG,8
SP,3522653,Itapirapuã Paulista,Radio + Fibra + SDH-NG,8
SP,3522802,Itaporanga,Radio + SDH-NG,8
SP,3523008,Itapura,Fibra + SDH-NG,8
SP,3523701,Itirapuã,Radio + Fibra + SDH-NG,8
SP,3523800,Itobi,Fibra + SDH-NG,8
SP,3524204,Jaborandi,Fibra + SDH-NG,8
SP,3524501,Jaci,Fibra + SDH-NG,8
SP,3524907,Jambeiro,Radio + Fibra + SDH-NG,8
SP,3525409,Jeriquara,Fibra + SDH-NG,8
SP,3525607,João Ramalho,Fibra + SDH-NG,8
SP,3525805,Júlio Mesquita,Fibra + SDH-NG,8
SP,3525854,Jumirim,Fibra + SDH-NG,8
SP,3526308,Lagoinha,Radio + Fibra + SDH-NG,8
SP,3526506,Lavínia,Fibra + SDH-NG,8
